"zcta5","state","puma2k","stab","zipname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","puma2k","State Postal Code","zipname","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to puma2k alloc factor","puma2k to zcta5 alloc factor"
"01604","25","02200","MA","Worcester, MA","2502200",-71.741261,42.24323,66,0.001903,0.000534 
"01604","25","02300","MA","Worcester, MA","2502300",-71.773979,42.253768,34611,0.998096,0.191109 
"01605","25","02300","MA","Worcester, MA","2502300",-71.787949,42.28953,26221,1,0.144783 
"01606","25","02200","MA","Worcester, MA","2502200",-71.768627,42.319838,128,0.00671,0.001036 
"01606","25","02300","MA","Worcester, MA","2502300",-71.795904,42.312717,18949,0.99329,0.104629 
"01607","25","02200","MA","Worcester, MA","2502200",-71.798639,42.211402,101,0.012094,0.000818 
"01607","25","02300","MA","Worcester, MA","2502300",-71.796285,42.230037,8250,0.987906,0.045553 
"01608","25","02300","MA","Worcester, MA","2502300",-71.801922,42.261982,3888,1,0.021468 
"01609","25","02300","MA","Worcester, MA","2502300",-71.817966,42.27643,22421,1,0.1238 
"01610","25","02300","MA","Worcester, MA","2502300",-71.809856,42.249038,23945,1,0.132215 
"01611","25","02200","MA","Cherry Valley, MA","2502200",-71.873712,42.236437,2242,1,0.018147 
"01612","25","02200","MA","Paxton, MA","2502200",-71.922326,42.307553,4845,1,0.039216 
"01701","25","02500","MA","Framingham, MA","2502500",-71.425971,42.319524,31217,1,0.296041 
"01702","25","02500","MA","Framingham, MA","2502500",-71.423888,42.282255,37206,1,0.352837 
"01718","25","01400","MA","Village Of Nagog Woods, MA","2501400",-71.429518,42.519686,469,1,0.004166 
"01719","25","01400","MA","Boxborough, MA","2501400",-71.515286,42.485729,4996,1,0.044377 
"01720","25","01400","MA","Acton, MA","2501400",-71.442078,42.481803,21361,1,0.189741 
"01721","25","02400","MA","Ashland, MA","2502400",-71.459374,42.255267,16593,1,0.149481 
"01730","25","01300","MA","Bedford, MA","2501300",-71.232039,42.503196,11,0.000832,0.000099 
"01730","25","01400","MA","Bedford, MA","2501400",-71.275782,42.495958,13210,0.999168,0.117339 
"01731","25","01400","MA","Hanscom Afb, MA","2501400",-71.274754,42.460526,110,0.078797,0.000977 
"01731","25","02600","MA","Hanscom Afb, MA","2502600",-71.279551,42.453487,1286,0.921203,0.012273 
"01740","25","00400","MA","Bolton, MA","2500400",-71.605124,42.437938,4897,1,0.044498 
"01741","25","01400","MA","Carlisle, MA","2501400",-71.352153,42.52967,4852,1,0.043098 
"01742","25","01400","MA","Concord, MA","2501400",-71.375367,42.457949,17726,1,0.157452 
"01745","25","02400","MA","Fayville, MA","2502400",-71.502684,42.292823,397,1,0.003576 
"01746","25","02400","MA","Holliston, MA","2502400",-71.437785,42.201574,13547,1,0.122041 
"01747","25","03600","MA","Hopedale, MA","2503600",-71.536398,42.126246,5911,1,0.054671 
"01748","25","02400","MA","Hopkinton, MA","2502400",-71.533363,42.222107,14925,1,0.134455 
"01749","25","00400","MA","Hudson, MA","2500400",-71.560353,42.391617,19063,1,0.17322 
"01752","25","00400","MA","Marlborough, MA","2500400",-71.541851,42.350556,38499,1,0.349828 
"01754","25","01400","MA","Maynard, MA","2501400",-71.453912,42.431721,10106,1,0.089767 
"01756","25","03600","MA","Mendon, MA","2503600",-71.549133,42.095045,5839,1,0.054005 
"01757","25","02400","MA","Milford, MA","2502400",-71.525526,42.151125,28053,0.999715,0.252721 
"01757","25","03600","MA","Milford, MA","2503600",-71.528179,42.131012,8,0.000285,0.000074 
"01760","25","02500","MA","Natick, MA","2502500",-71.35716,42.287559,32786,1,0.310921 
"01770","25","02500","MA","Sherborn, MA","2502500",-71.378014,42.233829,4119,1,0.039062 
"01772","25","02400","MA","Southborough, MA","2502400",-71.529961,42.293785,9370,1,0.084411 
"01773","25","01400","MA","Lincoln, MA","2501400",-71.333755,42.441149,39,0.007629,0.000346 
"01773","25","02600","MA","Lincoln, MA","2502600",-71.312161,42.422726,5073,0.992371,0.048414 
"01775","25","00400","MA","Stow, MA","2500400",-71.513415,42.43092,6587,0.999545,0.059854 
"01775","25","01400","MA","Stow, MA","2501400",-71.475385,42.424719,3,0.000455,0.000027 
"01776","25","01400","MA","Sudbury, MA","2501400",-71.427941,42.384855,17659,1,0.156857 
