"state","puma2k","puma12","stab","PUMAname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma2k to puma12 alloc factor","puma12 to puma2k alloc factor"
"04","00203","00204","AZ","Pima County (Northeast)","0400203",-110.866258,32.289685,104334,1,0.999042 
"04","00204","00202","AZ","Tucson (West) & Marana Cities","0400204",-110.9971,32.246288,18231,0.130393,0.158089 
"04","00204","00206","AZ","Tucson City (Northeast)","0400204",-110.897243,32.250701,51395,0.36759,0.503088 
"04","00204","00207","AZ","Tucson City (Northwest)","0400204",-110.972419,32.271663,70190,0.502017,0.68863 
"04","00205","00202","AZ","Tucson (West) & Marana Cities","0400205",-111.090667,32.426968,10805,0.089842,0.093695 
"04","00205","00203","AZ","Pima County (North Central)--Oro Valley Town","0400205",-111.005546,32.385733,109462,0.910158,1 
"04","00206","00204","AZ","Pima County (Northeast)","0400206",-110.79767,32.243395,100,0.000664,0.000958 
"04","00206","00205","AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town","0400206",-110.806649,32.063292,88432,0.587279,0.723163 
"04","00206","00206","AZ","Tucson City (Northeast)","0400206",-110.819219,32.238985,30589,0.203143,0.299425 
"04","00206","00209","AZ","Tucson City (Southeast)","0400206",-110.811495,32.194549,31458,0.208914,0.272505 
"04","00207","00201","AZ","Pima County (West)","0400207",-111.205499,32.107947,101172,0.45715,1 
"04","00207","00202","AZ","Tucson (West) & Marana Cities","0400207",-111.101735,32.288438,86285,0.389883,0.748216 
"04","00207","00205","AZ","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town","0400207",-110.985886,31.928222,33853,0.152966,0.276837 
"04","00300","00300","AZ","Navajo & Apache Counties","0400300",-109.893733,35.166988,178967,1,1 
"04","00400","00400","AZ","Coconino County--Flagstaff City","0400400",-111.58947,35.514426,134421,1,1 
"04","00500","00500","AZ","Yavapai County","0400500",-112.267662,34.629015,211033,1,1 
"04","00600","00600","AZ","Mohave & La Paz Counties--Lake Havasu City","0400600",-114.2411,34.961854,220675,1,1 
"04","00700","00700","AZ","Yuma County--Yuma City","0400700",-114.598603,32.650041,195751,1,1 
"04","00800","00800","AZ","Gila, Graham, Greenlee & Pinal (East) Counties","0400800",-110.977724,33.670336,64457,0.150121,0.585366 
"04","00800","00803","AZ","Pinal County (North)--Apache Junction City","0400800",-111.534314,33.296039,123512,0.287661,1 
"04","00800","00805","AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities","0400800",-111.424528,32.951904,114145,0.265845,1 
"04","00800","00807","AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities","0400800",-111.853415,32.940703,127253,0.296373,1 
